Generation;Fitness;Average Fitness;Score;Runtime
0;4,458348;1,327973;2;3,458349
1;11,05346;1,996068;4;7,053457
2;11,13912;2,95217;4;7,139121
3;4,753633;1,937767;2;3,753634
4;37,06088;2,615128;15;22,06088
5;26,9445;3,205196;10;16,9445
6;22,20883;2,859876;8;14,20883
7;42,15829;4,551448;17;25,15829
8;58,69682;7,125924;25;33,69682
9;54,94789;6,27391;23;31,94789
10;72,95106;5,649535;32;40,95106
11;91,98183;12,45474;42;49,98182
12;67,07136;2,910086;30;38,07136
13;63,13032;5,947572;27;36,13032
14;44,69821;4,628438;18;26,69821
15;82,45185;14,54171;37;45,45185
16;53,14108;10,08583;22;31,14108
17;53,0041;2,198596;22;31,0041
18;55,07818;5,08015;23;32,07818
19;53,17211;7,80432;22;31,17211
20;65,06453;8,097384;28;37,06453
21;115,3677;16,5474;55;60,36768
22;84,15639;14,89917;38;46,15639
23;74,61438;17,63802;33;41,61438
24;77,61201;21,82519;35;42,61201
