Generation;Fitness;Average Fitness;Score;Runtime
0;4,456227;1,253535;2;3,456227
1;5,831475;1,964244;2;3,831475
2;13,41166;1,883445;5;8,411665
3;7,121331;1,965863;2;5,121331
4;10,91395;2,483563;4;6,913953
5;48,6759;3,561637;20;28,67589
6;42,56655;4,730413;18;25,56655
7;82,60367;5,071275;37;45,60366
8;71,04448;5,43189;31;40,04448
9;61,25928;3,80686;26;35,25928
10;59,28572;5,898828;25;34,28572
11;46,89318;2,276777;19;27,89318
12;38,20794;3,841552;15;23,20794
13;53,13003;6,557626;22;31,13003
14;82,54657;7,95335;37;45,54657
15;59,1777;2,389764;25;34,1777
16;84,51624;7,215921;38;46,51624
17;46,91765;5,929027;20;27,91765
18;78,74583;10,44713;35;43,74583
19;86,34633;5,93917;39;47,34632
20;99,46667;9,586935;47;53,46668
21;73,03639;11,10227;32;41,03639
22;63,34577;13,9635;27;36,34577
23;84,63955;16,87679;38;46,63955
24;59,24876;11,27794;25;34,24876
25;65,1321;5,452494;28;37,1321
26;61,20534;6,682377;26;35,20534
27;95,79856;9,488444;45;51,79856
28;73,10961;13,97367;32;41,10961
29;46,9226;9,06418;19;27,9226
30;97,67752;16,10937;45;52,67752
31;84,53151;7,743389;39;46,53151
32;77,10711;18,19844;35;43,10711
33;82,66457;11,38965;37;45,66457
34;71,27322;15,58892;31;40,27322
35;73,00858;6,044471;32;41,00857
36;73,17834;12,36454;32;41,17834
37;103,1322;9,687517;48;55,13216
38;76,81393;2,355012;34;42,81394
39;85,45242;8,771616;39;46,45242
40;76,90665;12,08782;34;42,90665
41;82,70965;9,798244;37;45,70965
42;76,99847;15,67679;34;42,99848
43;77,03893;17,10227;34;43,03892
44;104,9463;12,24886;49;55,94632
45;88,39288;16,41596;41;48,39289
46;78,79961;16,36171;35;43,79961
47;78,93217;14,76518;36;43,93218
48;82,77104;10,9852;37;45,77104
49;76,98116;16,36985;34;42,98115
50;99,4939;20,17514;46;53,4939
51;80,744;18,02486;36;44,74401
52;103,2498;18,10817;48;55,24982
53;101,2338;22,69822;47;54,23381
54;75,10746;23,0005;33;42,10746
55;91,97876;5,808582;42;49,97876
56;84,52966;13,41202;38;46,52966
57;108,6246;7,932813;51;57,62464
58;90,32465;15,97614;41;49,32464
59;69,27205;18,95829;30;39,27205
60;74,98259;24,0808;33;41,98259
61;106,6404;6,497932;50;56,64036
62;105,0037;15,53335;49;56,00367
63;108,5827;18,30192;51;57,58268
64;117,7164;17,51801;56;61,71644
65;104,9804;23,08209;49;55,98035
66;80,88803;19,26907;37;44,88803
67;73,17073;20,68934;32;41,17073
68;117,5252;15,13102;56;61,52521
69;103,1017;16,23281;48;55,10168
70;84,67642;21,47547;39;46,67642
71;88,30519;19,00441;40;48,30519
72;86,37083;11,03071;39;47,37083
73;110,4263;23,37481;53;58,42629
74;92,07829;18,11358;42;50,07829
75;92,09521;23,81027;43;50,09521
76;67,30125;20,1114;29;38,30125
77;114,052;20,95358;54;60,05198
78;92,16875;18,41372;42;50,16875
79;103,2254;20,99428;48;55,22536
80;84,54642;19,77533;38;46,54642
81;86,54595;24,39033;39;47,54595
82;70,29219;10,48096;31;39,29219
83;84,67764;24,69983;39;46,67765
84;88,31213;20,40964;40;48,31213
85;80,93186;21,58477;36;44,93186
86;82,661;15,0502;37;45,661
87;86,56926;26,30897;39;47,56926
88;71,22121;23,80828;31;40,2212
89;80,73949;18,48449;36;44,73949
90;73,52189;28,86593;32;41,52189
91;84,45868;11,95026;38;46,45868
92;84,91315;30,8896;38;46,91315
93;93,87227;23,30814;43;50,87227
94;77,11986;25,03166;34;43,11986
95;90,24165;26,09365;41;49,24166
96;91,57222;28,86156;42;49,57222
97;92,12872;23,84933;43;50,12872
98;95,86346;26,00008;45;51,86346
99;84,7;20,04337;38;46,69999
100;105,1568;29,08547;49;56,15681
