Generation;Fitness;Average Fitness;Score;Runtime
0;37,88754;1,43635;15;22,88754
1;4,714121;2,005236;1;3,714121
2;11,03042;2,453808;4;7,030421
3;17,40485;2,460222;6;11,40485
4;13,82229;3,154631;5;8,822291
5;37,09985;4,089512;15;22,09986
6;33,82896;4,310684;13;20,82896
7;55,10114;2,653631;23;32,10114
8;44,64705;3,710402;18;26,64705
9;25,82989;3,724782;10;15,82989
10;48,90605;7,319612;20;28,90605
11;33,77378;4,366848;13;20,77378
12;72,94598;5,584308;32;40,94599
13;59,18279;6,255023;25;34,18279
14;71,11122;10,55648;32;40,11122
