Generation;Fitness;Average Fitness;Score;Runtime
0;3,159889;1,248343;1;2,159889
1;9,637684;1,84153;3;6,637683
2;8,318213;2,023773;3;5,318212
3;14,67375;2,094529;5;9,673748
4;37,98583;3,60737;15;22,98583
5;14,97765;2,020284;5;9,977654
6;11,63287;2,687515;4;7,632874
7;29,86018;3,402899;12;18,86018
8;2,769388;0,7575579;0;2,769388
9;53,20625;3,635954;22;31,20625
10;98,98803;4,439363;46;52,98803
11;76,55804;5,826441;35;42,55804
12;74,64439;7,033834;33;41,64439
13;100,8556;7,088267;48;53,85556
14;70,67564;12,76827;31;39,67564
15;70,59506;13,82449;31;39,59506
16;70,51818;15,40635;31;39,51818
17;83,8372;16,28749;38;45,8372
18;80,2907;20,67823;36;44,29069
19;80,35093;7,884097;36;44,35093
20;67,9527;16,91106;30;37,95269
21;85,99511;9,895405;39;46,99511
22;90,00902;17,80833;41;49,00902
23;55,07146;4,11623;23;32,07146
24;78,79486;8,298417;35;43,79486
25;65,16419;3,694021;28;37,16419
26;76,6849;5,943103;34;42,6849
