Generation;Highest Fitness;Average Fitness;Runtime
101;21,30615;9,582508;5,606527
102;21,37435;9,788763;5,503942
103;21,40504;10,61494;5,055325
104;21,35447;10,09428;6,033231
105;21,45258;10,70363;5,303661
106;21,37494;10,39508;6,281835
107;21,32381;9,480748;4,727028
108;21,3924;10,17026;6,58578
109;21,43659;8,229958;4,617247
110;21,39153;9,602243;7,149603
111;21,43723;10,58154;4,622101
112;21,26849;10,22988;5,410393
113;21,1482;9,43497;7,412345
114;21,31609;9,643982;5,349197
115;21,07866;7,251559;6,293524
116;21,14555;8,869289;5,365643
117;21,32016;8,679728;6,997837
118;21,13339;10,01048;6,054898
119;21,06662;7,014861;5,030013
120;21,27137;10,18702;6,877396
121;21,38956;11,62343;9,252082
122;21,40476;10,17145;6,687911
123;21,25509;9,78952;6,858396
124;21,29789;10,91548;4,63009
125;21,30796;10,45809;4,354221
126;21,21995;11,16182;4,503929
127;21,29091;9,82604;7,253047
128;21,31197;11,66263;4,983072
129;21,457;10,47319;5,193832
130;21,36552;10,38244;13,6462
131;21,18714;11,7466;5,910819
132;21,19007;11,37572;5,352499
133;21,11886;11,44339;6,241809
134;21,29471;10,58992;6,404148
135;21,26343;10,95024;4,344453
136;21,29958;8,277993;4,990069
137;14,87659;7,4702;8,048346
138;21,27306;10,89295;3,8647
139;21,35487;10,04838;4,563106
140;21,38813;9,156275;4,779719
141;21,27313;10,30874;4,043786
142;21,29564;9,824053;8,515747
143;21,37829;8,872312;4,340795
144;21,36792;8,819284;3,973465
145;21,40929;9,728796;4,981768
146;21,43073;10,27219;3,669746
147;21,38697;8,064257;3,628346
148;21,45271;9,990891;3,906396
149;21,45837;8,993793;3,362469
150;21,44162;6,876423;3,917695
151;21,37376;9,874077;4,942831
152;21,37864;9,987095;4,349632
153;21,39461;8,555446;4,932509
154;21,34234;9,137127;5,214777
155;21,38328;9,466528;6,905751
156;21,3808;9,926384;7,490254
157;21,42999;9,991352;6,559233
158;21,48174;10,10534;5,258111
159;21,42846;10,48115;7,609434
160;21,40833;9,496128;5,086525
161;21,41034;10,42552;5,491678
162;21,44239;9,334832;9,346364
163;21,38806;9,669456;11,37847
164;21,44043;8,624994;7,5504
165;21,38951;7,395633;12,13358
166;21,39643;7,674548;8,237172
167;21,40933;7,942244;6,63136
168;21,37674;8,338804;12,47089
169;21,22997;9,11308;8,710706
170;21,50169;7,944637;10,10635
171;21,42906;8,716866;9,985898
172;21,54107;8,882496;9,415291
173;21,2735;8,97083;14,49667
174;21,42825;10,61362;9,854486
175;21,49173;11,86387;5,169341
176;21,44525;9,893745;9,963012
177;21,41047;11,14846;7,073668
178;21,34384;9,589703;7,477465
179;21,38292;8,766164;10,3838
180;21,39818;9,111342;9,265339
181;21,48217;10,97542;11,21016
