Generation;Highest Fitness;Average Fitness;Runtime
0;4,519998;-0,5691111;5,088329
1;4,028851;-0,6705504;3,508392
2;5,901066;1,476694;4,227722
3;10,8957;2,538979;4,22797
4;9,911821;2,151137;4,469847
5;6,041925;2,308368;4,94903
6;11,60768;3,271281;1,768576
7;7,903211;3,32148;1,615338
8;11,66467;4,309833;2,208333
9;12,58423;4,576559;2,945245
10;15,96358;5,7894;3,827495
11;21,04662;5,726682;7,224336
12;20,00743;6,456196;8,628863
13;20,81855;8,124557;9,121347
14;20,84802;8,919372;11,15651
15;20,68953;9,131063;9,628068
16;20,18784;7,743569;11,63212
17;20,79703;7,912132;8,027953
18;20,73785;9,097524;10,81842
19;20,60736;7,86536;8,833645
20;20,68513;8,741972;7,521883
21;20,74487;11,18895;13,71495
22;20,89881;9,148741;10,56276
23;20,7399;9,567903;9,025921
24;20,8176;8,88792;7,56716
25;20,5303;8,899059;10,67121
26;21,06021;8,754687;9,132259
27;20,62363;10,17502;11,66198
28;20,85872;8,958097;11,35578
29;20,82864;6,829304;9,107806
30;20,99265;8,509091;11,06885
31;21,32055;9,013336;8,701879
32;21,00625;9,659498;6,797196
33;20,93686;9,253635;11,91171
34;21,13842;9,9343;9,09715
35;21,26563;8,226389;8,606796
36;20,87319;8,955233;7,75294
37;20,95255;9,974478;12,94655
38;21,06465;11,09102;6,553872
39;21,06426;8,7465;8,81177
40;20,71263;7,347774;6,626422
41;20,89891;8,253514;16,36386
42;21,06737;7,405214;9,191211
43;20,84611;7,655819;8,618835
44;21,06608;9,966077;9,380613
45;21,08941;9,328401;7,744904
46;21,14402;8,627174;9,986256
47;21,00937;9,542135;7,030313
48;21,2727;10,21228;12,42999
49;21,15921;10,98265;9,397416
50;21,3698;9,206033;5,667208
51;21,16474;9,189517;9,329214
52;21,23396;10,36877;13,52984
53;21,30192;9,484466;8,577312
54;21,29059;10,05562;4,075777
55;21,28671;9,143827;8,13009
56;21,35286;10,94524;4,442391
57;21,34482;11,68338;5,206313
58;21,35627;11,61174;5,985188
59;21,17307;9,961973;5,532092
60;21,19784;10,6692;6,188184
61;21,2449;9,058459;8,255071
62;21,25836;11,06655;7,706934
63;21,28539;11,77162;5,87472
64;21,21692;10,85715;5,173268
65;21,169;11,81267;5,866039
66;21,23654;9,927819;7,874325
67;21,32385;10,5746;9,406181
68;21,41413;7,94279;6,616457
69;21,38266;9,508286;9,107015
70;21,39256;8,622135;6,036206
71;21,23569;9,573449;7,66323
72;21,26007;9,104917;7,424994
73;21,28248;8,903415;4,504169
74;21,43356;8,527655;5,030063
75;21,19054;7,105022;5,90994
76;21,09571;7,457572;7,225244
77;21,26106;7,541221;5,416123
78;21,33669;8,512321;7,553365
79;21,25273;8,22828;7,065132
80;21,29155;7,717619;6,48806
81;21,16624;7,946585;5,628763
82;21,32867;6,880036;6,355421
83;21,23551;9,429926;5,463666
84;21,26729;9,356828;5,846636
85;21,19789;9,085707;5,599417
86;21,21169;8,939706;7,465176
87;21,2222;6,925284;5,75783
88;21,19975;10,24123;5,479566
89;21,24336;8,735179;6,38642
90;21,32699;9,753849;5,177912
91;21,37759;8,932846;4,718021
92;21,25028;6,394468;5,62886
93;21,34472;7,246394;5,067379
94;21,29702;9,0807;5,686996
95;21,38566;9,50009;6,878316
96;21,24693;8,683991;8,833005
97;21,22258;8,821855;4,843805
98;21,31724;9,576412;5,123531
99;21,37284;9,402653;5,984472
100;21,2546;9,199187;5,290419
