Generation;Highest Fitness;Average Fitness;Runtime
0;7,234005;0,06178081;7,071351
1;11,13188;0,5952935;4,797493
2;12,26627;2,226446;7,231857
3;15,0114;3,078343;5,686302
4;15,87903;3,804226;6,767311
5;14,99987;4,116154;8,567235
6;20,134;4,496479;6,800053
7;20,96988;5,743147;9,131335
8;20,04582;3,539724;9,554352
9;19,35318;5,01645;9,19063
10;20,45334;5,107573;9,528255
11;20,9663;5,658401;10,47109
12;21,18037;6,234863;9,379141
13;20,85856;5,642611;9,874574
14;20,81306;4,10431;10,49668
15;21,01892;4,712012;9,817239
