Generation;Highest Fitness;Average Fitness;Runtime
0;6,442806;-0,5344123;7,25492
1;5,632915;-0,6211671;7,795536
2;11,53983;1,459577;6,458687
3;12,85526;2,667911;6,69
4;14,28081;2,097917;3,79615
5;15,03897;2,914747;7,829989
6;14,5431;3,735773;6,500593
7;14,53506;3,634965;9,835578
8;19,96914;4,851168;8,087031
9;19,36549;6,703825;14,70763
10;19,86152;5,1252;9,952471
11;19,87996;5,824782;12,95022
12;19,9367;5,663859;19,14251
13;20,01047;6,597643;14,09164
14;20,03369;5,899819;16,5301
15;19,91168;6,910041;9,909857
16;20,06659;7,659326;14,15026
17;20,70265;6,980688;12,81662
18;20,54504;7,512996;10,31389
19;20,10699;7,605728;9,169269
20;20,18909;6,365445;8,242128
21;20,57711;8,552075;11,18484
22;20,6102;9,870647;17,5272
23;20,65868;8,357353;13,68277
24;20,73215;9,601733;12,56551
25;20,20273;6,032458;9,536619
26;20,65414;7,939044;11,83673
27;20,77455;8,121838;14,39428
28;20,53429;9,151403;15,17047
29;20,21272;5,744346;12,01818
30;20,53144;7,866497;14,42475
31;20,30143;7,651841;13,78005
32;20,52893;7,256572;11,59782
33;20,61232;9,578898;11,27546
34;20,66125;9,129416;8,849364
35;20,66262;10,57762;7,683942
36;20,60336;10,68217;11,15707
37;20,64571;9,657504;7,446201
38;21,04667;10,84061;8,664226
39;20,8401;11,65705;10,09484
40;20,67021;8,731858;6,185647
41;20,83228;10,94246;8,781315
42;20,74241;10,45612;11,60229
43;20,29626;2,705296;7,333138
44;15,27366;4,656177;9,525584
45;18,25923;1,081677;7,642816
46;20,66977;8,670626;9,538829
47;20,86218;9,09297;13,16325
48;20,76486;8,768169;11,40571
49;20,7932;9,140243;10,34464
50;20,70636;8,852564;8,108169
51;20,85331;8,810779;6,963418
52;20,77062;10,70603;8,968193
53;20,77811;10,38337;7,837749
54;20,98598;10,07856;6,456621
55;20,86098;9,047673;7,36264
56;20,91552;9,197288;7,059753
57;20,86355;11,26334;8,92508
58;20,30783;7,46788;5,965415
59;20,79996;10,67244;10,98241
60;20,91397;8,855108;8,512261
61;20,89387;9,861135;8,703207
62;20,91057;11,88896;9,355189
63;21,15673;11,14923;11,18591
64;20,84842;9,629853;5,975955
65;20,9308;11,98922;8,07924
66;20,92092;6,585629;5,309281
67;20,34103;8,817616;6,499959
68;20,80458;10,5706;9,328819
69;20,87914;11,91246;7,762466
70;21,10827;10,59352;6,652418
71;20,9967;10,95353;5,585381
72;21,14295;10,85009;7,537462
73;21,19586;9,950796;8,513519
74;21,07467;10,90808;7,954715
75;20,92111;11,18117;7,275033
76;20,91156;11,50305;9,055
77;20,82256;10,42094;6,15855
78;20,78042;9,456315;6,949531
79;20,97395;11,74451;9,029429
80;21,02171;12,4035;7,765367
81;21,01232;10,38618;11,10033
82;20,80102;11,45195;7,370833
83;20,93812;11,14168;9,248393
84;20,81844;8,375701;7,784853
85;20,89967;10,17297;8,911024
86;20,89289;7,466337;6,945508
87;20,49014;9,525906;6,744314
88;20,28438;1,978162;6,90941
89;20,96375;7,236008;10,66115
90;20,60375;7,377501;11,04895
91;20,7191;10,59457;12,71725
92;20,65832;11,04075;10,20341
93;20,72737;9,94848;7,846009
94;20,85039;10,60824;9,769663
95;20,73504;10,66419;6,65428
96;20,81849;10,6577;9,505636
97;21,13645;11,50084;9,346227
98;21,18441;10,07176;7,461143
99;20,96747;10,87994;9,553925
100;20,98524;8,133661;7,265293
101;21,01186;12,69067;8,333548
102;21,01876;9,602648;8,443907
103;21,10717;10,07112;7,724335
104;21,00514;11,22741;8,967678
105;20,87243;9,561688;8,314829
106;20,97713;9,288271;9,453012
107;21,1356;10,3214;7,887448
108;20,99811;9,907557;5,572001
109;21,00275;12,31962;9,188216
110;21,14675;9,519079;10,72621
111;21,04293;11,29614;5,919114
112;21,1193;12,17567;7,048224
113;21,07553;10,58449;5,969385
114;21,06124;10,12468;5,053963
115;21,06715;9,415443;6,349914
116;21,12142;9,771025;6,500147
117;21,03057;10,65873;8,062019
118;20,91133;10,09155;6,902706
119;21,07583;10,1375;4,820126
120;21,01355;11,16048;5,694407
121;21,02079;12,48207;6,454986
122;21,04875;12,03964;5,746811
123;21,31975;11,92898;6,007676
124;20,98238;12,52542;5,147462
125;20,96912;10,25192;5,664177
126;20,97651;11,11889;8,056173
127;20,89534;11,04012;5,032271
128;21,26084;13,00771;6,195894
129;20,99207;11,96591;6,866736
130;20,9844;12,06894;6,770226
131;21,04496;12,72412;7,863332
132;21,07296;12,01696;7,505978
133;21,0715;9,810278;5,392683
134;20,92981;10,66063;6,172711
135;21,06289;12,09253;8,305606
136;20,97044;10,69535;5,825293
137;21,01519;11,38467;9,666881
138;21,12589;11,96389;7,510622
139;20,95176;11,77161;5,782335
140;20,82484;11,27251;6,384319
141;20,89712;12,84029;6,462591
142;21,18617;13,36834;7,471292
143;21,18568;12,28193;6,703194
144;21,19596;12,36282;6,541337
145;21,27043;12,69259;7,168579
146;21,15079;10,81591;5,17264
147;21,1079;10,40134;6,718572
148;20,94203;7,68372;11,51644
149;20,39548;10,60685;5,875622
150;20,67937;5,640507;6,243414
151;20,74165;5,962304;4,199182
152;21,00633;9,969601;6,96608
153;21,02848;10,69065;14,47038
154;21,06104;10,6633;6,686959
155;21,07972;12,64899;7,131808
156;21,23773;15,20516;4,577832
157;21,25776;15,33174;6,598214
