Generation;Highest Fitness;Average Fitness;Runtime
0;6,75171;-0,1526984;8,51357
1;6,45775;-0,4733022;4,016024
2;6,040256;1,672214;4,024926
3;13,46805;3,39262;7,405561
4;13,47373;4,07861;6,650657
5;14,04878;3,851108;6,633624
6;15,07016;4,063084;7,745005
7;16,74309;3,773392;7,679997
8;19,97552;4,650003;8,498878
9;20,5701;5,961367;7,033884
10;20,36591;6,068697;11,65955
11;20,34763;6,68076;11,37153
12;21,19131;6,58253;15,29267
13;21,05689;6,644057;7,379671
14;21,10036;7,584719;7,016435
15;21,10213;6,689821;11,04169
16;21,11756;6,931324;8,055104
17;21,28698;8,488574;7,259015
18;21,36038;9,287495;6,018707
19;21,28678;9,30221;8,359169
20;21,27357;9,879603;7,395321
