Generation;Highest Fitness;Average Fitness;Runtime
0;6,95647;-0,236974;5,648841
1;11,22861;0,04330857;3,962402
2;6,075721;2,063827;3,747951
3;6,873992;3,016954;4,072947
4;6,156765;2,239723;6,260669
5;6,575765;3,05982;2,827347
6;6,385832;2,795021;3,96296
7;6,306332;2,840378;1,27879
8;6,291305;2,990658;3,030664
9;7,115395;2,925425;3,859005
10;6,174463;2,261353;3,525966
11;7,098716;2,810055;1,815342
12;6,085175;3,199943;2,050209
13;9,784758;3,487722;1,562937
14;6,118059;3,165814;1,200727
15;6,130489;3,57644;1,230618
16;6,982333;3,495456;1,303865
17;6,974404;3,452475;1,262174
18;6,970527;3,333311;1,232098
19;6,109695;3,36893;1,727794
20;13,43521;3,333789;1,802181
21;13,06565;4,266268;2,304302
22;12,06434;4,016099;2,415181
23;13,77835;3,747035;2,639713
24;20,58261;4,462358;4,116971
25;21,03915;4,71294;4,084997
26;16,19669;5,4397;7,566872
27;20,93011;4,960143;7,440453
28;21,09834;6,625279;6,608618
29;21,0244;7,274254;8,460782
30;21,16614;6,866906;5,481287
31;21,0149;6,644404;11,03373
32;21,08461;6,033525;6,351023
33;21,25867;6,793675;7,631358
34;21,29185;9,709392;8,674757
35;21,04396;6,751739;8,333671
36;21,17506;8,422263;9,566216
37;21,20891;6,947216;7,668631
38;21,00796;6,376406;7,20627
39;21,11897;8,941202;9,78164
