Generation;Highest Fitness;Average Fitness;Runtime
0;6,838493;-0,1722759;7,968733
1;4,752164;-1,161082;7,245437
2;11,03187;0,6722057;9,728581
3;14,62577;1,92875;8,157781
4;14,29147;2,978786;8,936543
5;14,34612;2,661841;7,984106
6;15,54996;3,258137;7,687901
7;19,90089;3,425855;8,293733
8;18,98069;4,05328;10,05855
9;20,09698;5,028594;10,81518
10;20,18964;4,592213;12,53552
11;19,30073;3,788553;12,23545
12;18,65504;4,533993;14,12413
13;20,10196;4,227184;12,1578
14;19,8334;4,919138;13,05044
15;18,26365;4,616627;11,54642
16;19,5062;3,816495;9,057795
17;17,67087;3,78816;7,963318
18;19,53367;3,54674;9,237405
19;19,80305;4,417941;12,76099
20;19,70049;4,013855;11,07704
21;20,14702;4,31724;12,06351
22;19,88981;4,561017;14,05508
23;19,80589;5,019804;12,85552
