Generation;Highest Fitness;Average Fitness;Runtime
0;15,54228;-0,1583781;9,08348
1;19,29553;0,634176;6,050411
2;19,04855;2,785096;6,393481
3;19,20662;3,00406;6,225428
4;19,19164;3,22719;9,290725
5;19,14465;2,75354;16,10358
6;19,30961;3,183063;8,286036
7;19,63703;3,785468;8,848877
8;20,17036;3,080055;13,64949
9;20,89309;5,034702;8,742638
10;20,11855;4,749539;8,471978
11;20,48806;4,693518;12,46824
12;20,55834;4,433275;9,36494
13;20,25345;4,934808;18,88221
14;21,05969;5,222576;10,36064
15;21,09141;5,393502;9,258636
16;21,15655;5,226486;7,940835
17;21,2216;6,635796;8,395469
18;21,26733;6,688276;9,162362
19;21,40374;6,751345;10,17975
20;21,35208;7,876596;10,5505
21;21,38851;9,388544;8,819109
