Generation;Highest Fitness;Average Fitness;Runtime
0;5,151505;-0,03603134;6,696374
1;5,760721;-0,1988116;5,477929
2;6,597699;2,620875;6,327492
3;6,054533;2,986278;4,876452
4;6,995501;2,720039;4,050664
5;6,268262;2,515584;1,407221
6;6,981162;2,846853;1,793752
7;12,4221;2,657976;2,13456
8;12,5491;2,861902;2,877339
9;6,431023;2,316127;5,399813
10;7,016069;2,297567;2,103063
11;11,61544;3,120553;1,784291
12;12,17786;2,790353;4,857878
13;11,79429;3,320283;3,587126
14;12,56576;2,577135;2,236918
15;11,95678;2,96819;2,632302
16;15,13602;3,337008;3,800983
17;27,5418;4,523995;5,341515
18;16,60321;6,33856;6,690289
19;15,59557;5,618982;8,727131
20;43,00831;7,511373;15,3987
21;41,73132;9,381737;18,84937
22;36,50243;3,945712;13,0489
23;36,27803;2,183647;13,34216
24;37,85529;5,137181;14,71425
25;21,54118;4,321653;5,890231
26;38,44345;3,37995;13,40834
27;39,56411;0,6294149;10,72194
28;14,52853;0,3921696;5,272655
29;41,29058;1,21809;9,88982
30;35,54139;0,8023469;7,632473
31;39,19813;1,170656;10,66924
32;35,52579;2,848087;10,40041
33;24,71264;0,3056532;9,135717
34;11,47943;0,1264345;6,433953
35;10,94496;-0,3674854;5,072631
36;18,7616;-0,2973467;7,980003
37;4,431958;-0,3819462;8,397141
38;6,954846;0,4669063;4,861178
39;15,00261;-0,1802182;5,221128
40;9,709358;-0,1350273;7,669874
41;14,23823;-0,04954763;5,08951
42;6,39762;0,005811512;3,878313
43;14,59463;-0,5117239;9,324125
44;14,16119;1,766463;5,69216
45;14,50812;2,324261;10,55321
46;41,87505;3,30622;8,716835
47;41,2855;4,695507;9,534833
48;37,9921;5,130329;9,861376
49;40,67916;4,016296;10,92828
50;20,12422;3,261746;6,953712
51;39,22755;4,006114;13,22902
52;41,80821;6,248909;18,84163
53;37,12003;4,056738;15,12842
54;38,99267;5,45857;17,02389
55;37,42129;4,119017;15,19761
56;41,10812;5,941858;11,57561
57;39,53519;4,614931;11,72433
58;34,79517;0,9956214;8,008563
59;41,37305;5,100849;10,95802
60;20,61467;4,917628;12,42458
61;39,59851;3,832377;10,63377
62;40,77802;2,051024;10,9597
63;35,18409;4,171999;10,10402
64;38,75827;1,297368;11,18843
65;33,92484;4,0259;7,923302
66;20,14544;2,19297;8,236192
67;19,69665;4,585769;8,093887
68;20,82251;7,890316;8,085273
69;42,29322;9,771651;14,61901
