Generation;Highest Fitness;Average Fitness;Runtime
0;5,637768;0,2726061;7,48387
1;12,27101;1,614643;5,457347
2;12,50107;2,173655;7,433521
3;7,418157;2,642213;8,075132
4;20,43677;3,55272;11,4651
5;20,83997;6,14943;12,11427
6;20,47071;5,928872;8,985476
7;20,57191;5,684473;13,70941
8;20,59143;5,992601;8,902638
9;20,44211;6,081558;11,08049
10;20,56933;6,554021;12,16971
11;20,55554;6,825223;8,665767
12;20,22348;5,997568;13,84604
13;20,47235;5,089214;10,36213
14;20,54661;7,274343;7,666975
15;20,31936;5,748241;12,02962
16;20,56927;7,525867;9,695207
17;21,05722;5,846519;9,939286
18;21,20713;6,437227;7,424849
19;20,91568;6,053705;7,603123
20;20,96467;7,611224;8,024461
21;20,52672;7,343506;11,11139
22;20,84837;5,918779;9,708836
23;20,97642;6,343679;9,4691
24;21,02067;8,493684;8,533962
25;21,09195;6,851354;7,651931
26;20,77023;5,718815;6,219798
27;20,38246;6,891477;7,032431
28;21,04025;6,696845;9,330016
29;20,94983;7,85005;10,90447
30;20,87876;6,705229;7,994837
31;20,39458;7,525897;8,202626
32;20,30572;7,60274;8,156383
33;20,32499;7,515144;7,771034
34;20,76958;6,661888;9,900748
35;20,24086;6,188444;8,450823
36;20,41325;7,54648;8,64675
37;20,56327;7,468997;13,51964
38;20,45031;9,944882;8,804823
39;21,04825;7,312969;8,301089
