Generation;Highest Fitness;Average Fitness;Runtime
0;6,560226;0,03802367;6,546193
1;12,31164;-0,8740832;7,030803
2;6,192969;0,4994214;5,556777
3;6,167991;1,909563;4,099495
4;10,9873;2,46757;6,976817
5;6,357691;1,845215;5,355434
6;6,372755;1,936859;4,713977
7;10,8302;2,269562;4,037253
8;11,16637;2,540018;3,20615
9;11,10754;2,156486;5,740158
10;11,10174;2,507941;4,051943
11;36,57397;3,091338;8,000516
12;14,73791;2,441452;7,232635
13;39,13041;2,721767;13,06126
14;41,58135;4,725762;13,41845
15;39,62957;6,112463;13,53707
16;40,27936;6,288886;15,60701
17;39,96744;8,330062;34,70361
18;41,28212;6,048532;23,06836
19;40,97571;9,015058;16,06029
20;41,27884;8,550973;24,09015
21;41,30373;10,24878;16,01751
22;40,48835;7,829188;27,28714
23;40,1017;5,28713;23,61122
24;42,30521;6,327194;15,83001
25;39,9276;5,95673;17,92858
26;40,92467;7,252789;29,12146
27;40,68499;7,56636;14,39878
28;41,54566;7,51288;16,02182
29;41,49426;8,77774;27,22812
30;41,43402;9,067785;17,49898
31;41,28493;6,473379;18,97554
32;42,15126;9,173763;14,94994
33;41,54789;7,036141;19,81612
34;42,50867;12,66902;15,4957
35;42,06255;12,94925;24,50734
36;42,0738;13,61463;21,16045
37;42,12394;12,63157;12,32068
38;43,08509;7,023619;15,50494
39;42,96459;9,046373;17,48946
40;43,54;13,80787;17,79955
41;43,52153;11,35298;10,93514
42;42,54238;11,53752;11,0456
43;42,61403;10,09786;14,43253
44;42,9813;11,14243;14,60488
45;42,76665;12,25121;20,49925
46;42,9505;14,31685;13,43743
47;43,39544;16,81077;17,14636
48;43,68134;17,25749;11,60607
49;43,19586;16,18223;12,87862
50;43,42665;15,18691;12,07017
51;43,41511;15,75759;16,65358
