Generation;Highest Fitness;Average Fitness;Runtime
0;6,985561;0,274777;9,18
1;6,798775;2,384682;6,12
2;11,14037;3,380586;2,80
3;11,41172;3,186557;3,50
4;11,39986;3,597557;3,65
5;12,64595;3,511099;5,95
6;11,92368;3,131827;10,83
7;14,14169;4,373332;8,18
8;36,1221;4,879272;7,06
9;58,45516;5,003339;8,80
10;79,28154;6,843528;25,54
11;36,47789;3,036904;13,77
12;85,64389;7,236266;27,15
13;79,27209;4,775972;26,65
14;79,22943;4,803188;25,56
15;82,33914;6,296273;26,83
16;79,07944;4,997243;25,81
17;79,31686;5,079404;25,60
18;53,52887;7,916655;19,64
19;17,21539;1,30033;9,02
20;32,78773;3,121284;13,51
21;35,19611;1,841393;9,12
22;83,52194;7,170117;19,21
23;88,48864;11,60683;19,14
24;88,3149;10,72164;26,71
25;82,10845;7,275138;21,91
26;82,60368;10,20548;22,58
27;82,65779;11,3878;22,21
28;86,40625;15,47765;27,79
29;85,13183;15,33333;26,90
30;83,06325;10,20721;24,59
31;82,70462;8,742579;19,55
32;76,79733;13,99026;20,95
33;86,13074;5,668494;20,62
34;86,47585;9,086933;20,33
35;86,41471;10,33684;20,91
36;86,42924;9,348732;27,32
37;85,8696;15,72255;26,91
38;86,85406;15,854;27,44
39;86,17104;19,78221;42,95
40;84,77484;15,17528;28,83
41;85,56028;16,05063;36,70
42;85,56126;20,14996;38,87
43;85,48484;19,94058;35,99
44;85,84007;19,9801;27,35
45;85,60406;16,45675;22,60
46;85,54531;22,88766;23,34
47;85,60194;21,84837;31,09
48;83,21368;11,14943;31,29
49;82,9689;17,76034;35,47
50;81,1455;5,559926;33,01
51;81,97553;12,29146;34,53
52;82,62501;12,34394;35,87
53;85,66023;5,939379;35,53
54;86,31536;15,17698;34,25
55;86,1469;17,70602;33,15
56;86,16676;15,5803;32,36
57;87,69854;18,28094;32,61
58;88,10202;16,18784;20,44
59;85,82352;20,73219;24,03
60;85,75402;22,18838;29,89
61;85,2772;23,09884;31,56
62;86,22863;26,57613;32,18
63;86,60229;20,07648;29,55
64;86,55698;19,35339;20,65
65;86,39529;21,36253;26,42
66;85,98164;23,86403;20,24
67;86,81389;14,56521;24,65
68;86,68797;18,86814;25,53
69;85,71645;23,77116;25,24
70;85,89256;22,05585;29,72
71;86,82574;23,00569;30,45
72;86,17413;16,90673;43,29
73;87,3377;23,15057;23,63
74;86,33845;26,08978;28,15
75;86,60686;17,59852;19,33
76;36,78213;0,675685;8,10
77;25,74348;0,5863311;12,75
78;26,94633;5,065388;14,66
79;80,20609;8,035543;24,42
80;83,87038;10,12088;18,57
81;85,9973;22,03256;38,51
82;85,74351;24,45066;25,75
83;85,4519;19,96596;20,80
84;85,84106;22,97564;25,90
85;85,72836;21,54073;20,58
86;85,79121;20,19228;28,07
87;86,43417;25,17454;26,21
88;86,42441;17,83823;38,23
89;86,82034;19,29976;24,39
90;86,49047;14,72012;21,70
91;85,74287;21,34313;29,71
92;86,9951;16,38886;19,85
93;85,48013;17,76033;28,08
94;85,72726;14,73207;28,98
95;85,83712;21,01865;29,78
96;86,14395;20,02987;22,31
97;86,49512;20,09109;23,89
98;86,13273;25,09807;22,10
99;86,60533;23,96884;46,45
100;86,366;21,36075;28,54
101;85,76952;14,32216;21,49
102;85,01124;21,86887;23,58
103;85,99393;25,06084;29,87
104;86,95192;24,06388;26,39
105;86,58489;20,8911;26,66
106;86,0411;24,88211;27,03
107;13,41768;4,373793;5,57
108;87,87283;16,23867;17,78
109;85,23941;15,23422;17,13
110;35,10814;0,5117013;9,27
111;87,21594;9,721106;15,24
112;87,24286;15,14653;20,98
113;87,45463;17,28656;19,79
114;87,37746;19,41728;23,69
115;87,67655;24,11049;24,10
116;87,41662;24,47312;21,93
117;87,74438;10,23988;19,12
118;87,693;17,94406;27,08
119;87,48597;19,24265;26,80
120;87,33438;21,1746;23,55
121;86,7224;19,84997;23,99
122;86,946;27,94608;24,79
123;86,77992;25,0757;25,90
124;27,36905;8,699746;7,06
125;86,01572;12,51252;19,85
126;88,81402;21,01431;24,20
127;88,22781;27,24044;24,16
128;88,52138;25,04819;21,15
129;88,05634;23,89913;25,82
130;88,15797;23,08685;19,76
131;87,70734;27,67903;19,96
132;87,80794;28,01899;21,82
133;87,84769;24,72949;19,31
134;88,09602;29,01148;24,14
135;88,08925;27,92692;21,33
136;88,91331;28,60252;16,66
137;88,69847;27,92366;18,80
138;88,74104;28,24784;17,31
139;88,95075;35,03612;20,43
140;89,4184;31,43994;14,72
141;89,30254;30,30589;16,70
142;89,25916;29,89237;13,91
143;89,32697;27,85959;17,14
144;89,21099;32,62266;15,08
145;89,19188;23,49907;13,10
146;89,2463;24,08779;29,66
147;89,29875;25,17988;13,92
148;89,23086;28,22189;14,81
149;89,41586;29,08129;15,02
150;89,28489;28,81193;12,71
151;89,33012;31,2894;14,79
152;89,31505;29,20803;16,26
153;89,4393;23,71212;15,30
154;89,4185;32,02703;14,54
155;89,43552;26,41884;17,59
156;89,45621;37,62458;20,96
157;89,49293;29,17397;12,93
158;89,39426;28,56044;13,30
159;89,58083;32,5711;16,02
160;89,50803;31,6398;17,82
161;89,28466;29,04887;14,78
162;89,46556;30,58481;25,86
163;89,35979;29,32647;18,45
164;89,36201;34,41378;13,16
165;89,43394;29,59105;12,58
166;89,48415;29,58088;14,33
167;89,61516;27,77722;16,68
168;89,23759;22,29956;15,66
169;89,33002;26,56693;14,96
170;89,44567;28,3382;13,46
171;89,16621;22,81906;13,96
172;89,20738;30,75551;15,36
173;89,45174;27,69728;13,56
174;89,45555;37,0079;14,39
175;89,43173;32,65627;15,58
176;89,49594;28,92651;14,66
177;89,40282;36,37866;15,28
178;88,59427;26,69327;13,48
179;89,46767;26,30053;15,88
180;89,45158;31,9649;13,10
181;89,43647;23,26556;11,98
182;89,48087;28,65125;12,12
183;89,51666;24,03981;13,83
184;89,68056;29,48517;13,32
185;89,58931;31,03667;12,12
186;89,54926;26,79949;12,08
187;89,68954;27,90842;11,92
188;89,63459;25,37468;13,08
189;89,71478;24,65901;14,57
190;89,78693;28,77369;12,08
191;89,80951;33,58745;13,66
192;89,80051;25,52849;12,01
193;89,75802;25,86177;11,42
194;89,71724;28,52291;12,22
195;89,81239;22,96987;14,62
196;89,71355;27,31677;12,06
197;89,65232;32,72305;12,65
198;89,74763;25,95844;11,72
199;89,76661;28,41195;11,64
200;89,8541;28,94361;12,55
201;89,39391;10,14225;10,80
202;89,97375;22,63255;12,88
203;89,77427;24,7863;12,50
204;89,87246;31,65388;11,82
205;89,78399;23,17613;11,06
206;89,74981;21,41389;11,80
207;89,78292;24,70827;11,09
208;89,72577;25,50063;12,26
209;89,58521;22,17689;11,45
210;89,58169;24,11181;13,26
211;89,74796;24,88934;12,18
212;89,75174;32,24162;12,12
213;89,90158;31,9388;11,82
214;89,90715;33,24503;11,97
215;89,88135;28,0981;11,50
216;89,86884;29,10871;11,28
217;89,95459;33,62412;13,51
218;89,99247;36,80988;11,40
219;89,80406;28,5683;12,62
220;89,7978;33,67593;12,74
221;89,7235;26,96238;11,49
222;89,67246;26,73258;11,73
223;89,72295;27,84743;11,30
224;89,76236;31,81936;11,34
225;89,75511;27,9938;11,28
226;89,78401;33,17516;11,84
227;89,76982;31,047;11,32
228;89,73682;36,44229;12,01
229;89,7482;32,27945;12,05
230;89,78867;28,69318;14,36
231;89,67136;35,85289;11,62
232;89,68719;34,87393;13,76
233;89,75904;28,39818;11,70
234;89,86376;39,15624;12,86
235;89,81535;33,81791;11,82
236;89,7076;29,4317;15,32
237;89,73261;31,85439;15,33
238;89,75973;35,75785;11,94
239;89,6819;31,06977;11,86
240;89,88074;34,74931;12,26
241;89,8811;30,19414;11,20
242;89,80834;35,50668;11,58
243;89,70158;30,79917;12,62
244;89,7953;30,74963;13,16
245;89,79975;29,91868;12,13
246;89,69834;31,9085;11,94
247;89,78696;39,02682;14,38
248;89,64;34,00489;12,70
249;89,77843;34,70516;11,80
250;90,59954;15,80918;19,56
251;89,78473;34,96253;11,49
252;89,5055;33,18527;13,33
253;89,62517;30,44548;12,13
254;89,73868;32,41715;19,24
255;89,766;35,3078;11,60
256;89,70457;32,49953;12,38
257;89,69422;25,34644;11,02
258;89,67046;34,24135;13,18
259;89,76494;33,22669;11,68
260;89,73717;26,928;11,26
261;89,66127;32,28852;11,34
262;89,6148;31,48867;11,90
263;89,74658;34,40136;11,50
264;89,72063;37,65461;14,00
265;89,87022;37,44225;12,56
266;89,89512;32,02451;11,80
267;89,87486;36,20302;12,00
268;89,83852;32,68265;11,58
269;89,87714;32,0534;11,84
270;89,89844;38,44855;12,00
271;89,8609;29,01197;11,52
272;89,75192;15,44303;10,82
273;89,83152;36,76646;11,16
274;89,78517;31,90158;11,10
275;89,7691;29,05345;12,11
276;89,88802;32,7827;11,74
277;90,00663;27,03638;11,06
278;89,86004;22,31627;11,10
279;89,83297;21,92685;11,04
280;89,82318;29,1073;10,90
281;89,88396;31,36674;12,10
282;89,88634;28,91554;11,42
283;89,9269;26,21704;12,98
284;90,02695;13,30101;10,42
285;90,04836;25,86317;11,32
286;90,05149;32,59595;11,80
287;89,94405;33,65253;11,44
288;89,91692;33,19424;12,16
289;89,98528;31,44046;11,64
290;89,82937;26,08177;11,46
291;89,23807;19,43309;12,03
292;88,99787;7,821338;12,93
293;88,65017;4,871475;12,60
294;86,81734;4,932408;15,11
295;57,21239;6,998964;11,12
296;36,3051;5,244762;6,90
297;81,04381;5,709239;11,75
298;87,39324;7,814597;13,48
299;87,62943;8,926579;15,30
300;88,20194;7,431687;14,68
