Generation;Highest Fitness;Average Fitness;Runtime
0;8,930991;0,05356455;5,579286
1;9,848466;-0,4701245;4,657197
2;14,10769;1,706861;6,425671
3;15,33064;3,367264;5,694377
4;15,30932;4,447908;5,676751
5;19,37502;4,013929;6,115512
6;18,49951;3,656441;6,291879
7;20,14927;3,369358;8,681646
8;20,73517;4,758611;8,534882
9;20,38006;6,037807;10,45107
10;20,14512;5,89554;12,87381
11;20,67363;4,263775;9,847293
12;20,5312;5,866498;14,77431
13;20,63777;6,866737;8,624756
14;20,63352;5,27873;7,789706
15;20,59599;4,944736;8,897322
16;20,56756;6,861058;13,03411
17;20,44972;4,929064;8,667816
18;20,77369;6,814504;7,363311
19;20,76662;5,875299;11,87457
20;20,64044;6,673065;7,892026
21;21,14047;4,472849;8,499943
22;20,49047;6,065889;7,901039
23;20,2512;6,762682;7,533778
24;20,55598;7,775722;6,31641
25;20,612;6,260547;10,0999
26;20,77723;6,839676;8,546386
27;20,76057;6,191047;8,173028
28;20,8243;7,477641;9,974786
29;20,81982;8,977141;6,968949
30;20,6934;7,794868;7,938209
31;21,17981;8,326503;6,303239
32;20,80478;7,450749;9,057847
33;20,6586;3,346234;6,829404
34;20,81776;8,598812;9,248195
35;20,32151;3,179745;7,355124
36;20,76446;8,767642;7,15329
37;21,02643;9,333722;6,997495
38;21,13392;10,81685;9,391109
39;20,89489;6,373393;6,141861
40;21,11214;7,803674;11,64906
41;20,8411;8,368367;9,373731
42;21,1634;8,619828;8,305156
43;20,66029;7,149711;6,032668
44;20,84174;8,266158;10,70175
45;20,9662;9,070181;9,805209
46;21,05418;9,844882;9,77652
47;21,09063;10,76303;7,331128
48;21,23477;11,78774;6,802813
49;20,97952;7,930292;8,78328
50;21,157;11,81425;8,753813
51;20,21889;2,774794;6,916628
52;21,11648;10,48122;9,662714
53;20,83876;10,29781;7,30826
54;21,00826;11,53571;8,823569
55;21,03712;12,66846;8,635713
56;21,03328;11,46797;4,909194
57;21,04496;13,68596;7,710994
58;21,14888;12,50687;5,962013
59;21,00506;13,54926;6,666115
60;21,25639;12,68165;7,245049
61;21,17036;11,23215;5,665811
62;21,07717;13,91072;6,1423
63;20,97485;10,06408;4,623534
64;21,29464;11,73493;7,389885
65;21,19814;11,9809;6,672654
66;21,11807;13,64591;6,163507
67;21,09064;13,02954;6,725659
68;21,13966;12,50308;5,663992
69;21,17996;12,03012;4,62907
70;21,29962;12,68428;5,805011
71;21,13519;12,86857;5,118434
72;21,13844;11,94485;6,48989
73;21,10042;10,21826;7,323161
74;21,27132;10,77325;9,089983
75;21,2461;11,56343;5,308232
76;21,22149;11,48156;6,423328
77;21,22072;11,009;9,587621
78;21,32368;9,296774;5,863389
79;21,30851;11,58983;6,336997
80;21,22117;11,50547;5,452789
81;21,34521;11,91649;5,02257
82;21,45602;10,13509;5,182017
83;21,04526;6,523699;5,024855
84;21,01399;9,374679;7,797653
85;21,09323;10,25316;7,339601
86;21,23441;9,763594;5,446784
87;21,2963;10,28035;5,012708
88;21,38466;11,5375;5,421711
89;21,34613;11,28693;4,485825
90;21,31845;11,76292;5,512101
91;21,10832;9,366496;5,764545
92;21,31693;9,769622;6,930963
93;21,29316;11,36586;7,015927
94;21,13617;8,705391;6,068262
95;21,26081;10,19481;5,662502
96;21,26751;10,12758;5,333398
97;21,03291;8,638509;6,801143
98;21,33794;10,1999;7,16649
99;21,35157;11,293;4,980169
100;21,39002;11,06193;5,374761
101;21,4552;9,859171;6,576754
102;21,58663;11,08304;7,614297
103;21,39489;9,935866;4,853763
104;21,45735;9,910886;5,384255
105;21,32163;10,85706;5,068362
106;21,4034;10,01352;5,09597
107;21,27328;8,80174;5,636777
108;21,29923;8,742611;7,007452
109;21,31503;9,556947;5,982738
110;21,14591;6,023719;8,170902
111;21,32397;8,689356;5,432794
112;21,27439;8,307229;6,173697
113;21,48318;9,61947;6,003592
114;21,19394;8,22453;8,471066
115;21,39272;8,701962;6,609897
116;21,09371;10,22197;7,427224
117;21,18082;10,73279;6,78656
118;21,28277;7,290076;7,476595
119;21,23854;10,72068;6,108275
120;21,26607;9,679154;7,487366
121;21,19593;9,891168;6,691805
122;21,47094;11,00284;4,663511
123;21,29365;10,01823;7,440837
124;21,37457;10,5044;5,15344
125;21,21962;10,8829;7,095259
126;21,32577;11,37435;4,524717
127;21,45443;12,17579;4,519366
128;21,3085;10,19318;4,540628
129;21,40664;11,34915;4,147797
130;21,40056;11,68224;4,484342
131;21,48894;10,35535;6,087969
132;21,38123;11,34911;4,301341
133;21,41746;10,72894;4,02784
134;21,42428;11,17538;4,219875
135;21,40081;12,39694;4,177063
136;21,42909;10,53161;4,679242
137;21,30584;10,00324;6,863004
138;21,35111;11,38285;5,511362
139;21,3574;11,17184;6,104889
140;21,15199;8,885183;5,4318
141;21,20109;10,43561;5,589439
142;21,30345;11,4819;6,829013
