Generation;Highest Fitness;Average Fitness;Runtime
0;12,82586;0,2501718;7,171445
1;19,02775;0,822153;6,955707
2;13,92457;1,68616;6,457512
3;19,67562;3,524495;6,156267
4;19,68134;3,596734;8,474166
5;19,6619;2,855589;6,624458
6;19,65098;3,242389;7,356696
7;20,28396;3,206867;7,999396
8;19,97331;3,571748;8,729203
9;20,35685;4,016076;8,864121
10;19,66922;4,17845;10,28104
11;21,01995;4,757587;10,50022
12;20,78512;6,432903;16,55515
13;21,12483;6,749833;15,62365
14;21,08377;6,787018;6,765294
15;21,09015;6,575555;10,06297
16;20,88016;8,496032;8,548728
17;20,89548;6,736276;11,36635
18;21,05583;6,737683;13,13394
19;21,14596;7,529858;9,142205
20;20,95276;8,306886;9,610118
