Generation;Highest Fitness;Average Fitness;Runtime
0;6,372447;-0,504136;4,383415
1;12,5319;1,305584;5,751259
2;12,57978;2,688856;4,007193
3;12,592;2,603734;6,068285
4;12,59813;3,786466;5,259556
5;12,61576;2,951431;4,34999
6;14,13276;3,718483;4,254038
7;20,43248;2,541059;9,848996
8;12,60517;2,296758;4,727298
9;12,06666;3,144236;10,6709
10;17,42083;2,216753;9,476352
11;17,34204;2,986728;9,896801
12;19,51189;3,563892;15,02741
13;20,5543;3,454743;15,76644
14;19,58751;3,181207;9,611937
15;18,1362;4,357002;9,599336
16;20,16726;4,230633;10,25525
17;18,90724;5,093193;14,33515
18;20,95984;7,367147;12,13139
19;20,69936;7,920787;8,700234
20;20,65289;7,291544;11,58758
21;20,85204;7,820711;10,02943
22;20,92482;8,783146;9,990351
23;21,14782;9,161144;10,3431
24;20,55009;8,13151;8,723131
25;20,90513;8,602752;9,497821
26;21,07618;9,292115;8,23898
